-547.038	-295.329	170.521	2.98919	0.114127	-0.598294
-528.112	-327.976	170.522	2.98919	0.114128	-0.537587
-502.112	-366.542	170.522	2.98918	0.114126	-0.462751
-488.221	-384.851	170.522	2.98918	0.114125	-0.425784
-475.878	-400.013	170.521	2.98919	0.114123	-0.39433
-435.603	-376.873	195.372	3.09383	0.0299977	-0.38845
-456.68	-351.036	195.374	3.09383	0.0299995	-0.446348
-474.362	-326.748	195.374	3.09383	0.0300018	-0.498511
-488.645	-304.974	195.374	3.09382	0.0299991	-0.54372
-499.282	-287.229	195.374	3.09382	0.0300015	-0.579641
-501.942	-341.381	202.336	3.06719	0.0516224	-0.494442
-507.12	-350.327	203.374	-3.08522	-0.0546767	-0.484253
-522.715	-326.585	203.364	-3.0852	-0.0546945	-0.530349
-558.062	-362.329	199.419	-3.11568	-0.0299549	-0.496777
-525.082	-341.572	233.376	-3.11952	-0.0265544	-0.507379
-548.38	-373.176	206.125	2.97939	0.122371	-0.484413
-523.757	-332.225	211.543	-3.00829	0.341769	-0.464068
-529.776	-307.117	198.953	-2.98456	0.323256	-0.4981
-497.305	-357.969	199.586	-2.98574	0.324185	-0.399843
-488.963	-368.766	211.848	-3.10452	0.225856	-0.417308
-540.635	-378.505	193.397	-3.11845	0.236705	-0.443605
-559.176	-397.336	188.876	3.13553	0.259097	-0.437801
-578.574	-368.536	188.876	3.13552	0.259102	-0.48843
-591.89	-349.801	187.549	3.0782	0.188045	-0.531484
-601.413	-333.162	187.549	3.0782	0.188043	-0.55937
-542.18	-333.405	217.817	3.0774	0.18866	-0.527257
-517.681	-306.829	225.967	-2.98053	0.00665014	-0.531665
-502.39	-331.271	225.964	-2.98053	0.00664685	-0.483756
-493.352	-353.196	226.003	-3.13874	-0.189115	-0.499883
-533.334	-329.828	218.414	-3.14103	-0.187285	-0.559515
